date,GPP_NT_VUT_REF,n_datapoints,n_measured,SW_IN_F,f_measured
548681546-06-13,-3.50336,1,0,0,0
548681546-07-13,-3.80139,1,0,0,0
548681546-09-21,-2.24647,1,0,0,0
548681546-10-21,-0.092813,1,0,0,0
548681546-12-30,0.111718,1,0,0,0
548681547-01-29,-0.360913,1,0,0,0
548681547-04-09,0.565965,1,0,0,0
548681547-05-09,1.30512,1,0,0,0
548681547-07-18,-2.42675,1,0,0,0
548681547-08-17,-1.42773,1,0,0,0
548681547-10-26,-0.599165,1,0,0,0
548681547-11-25,-6.17649,1,0,0,0
548681548-02-03,-0.874499,1,0,0,0
548681548-03-04,5.07018,1,0,7.201,0
548681548-05-13,5.06907,1,0,14.621,0
548681548-06-12,6.02552,1,0,21.258,0
548681548-08-21,8.98017,1,0,63.139,0
548681548-09-20,4.13827,1,0,74.237,0
548681548-11-29,-8.09638,1,0,82.82,0
548681548-12-29,-5.24487,1,0,88.741,0
548681549-03-09,-4.41577,1,0,91.898,0
548681549-04-08,-4.70767,1,0,92.237,0
548681549-06-17,-1.75855,1,0,170.553,0
548681549-07-17,-0.728997,1,0,160.549,0
548681549-09-25,-1.12608,1,0,145.433,0
548681549-10-25,-0.72045,1,0,125.461,0
548681550-01-03,4.69266,1,0,100.977,0
548681550-02-02,4.10102,1,0,72.4,0
548681550-04-13,6.01086,1,0,12.153,0
548681550-05-13,5.69538,1,0,1.505,0
548681550-07-22,5.16128,1,0,0,0
548681550-08-21,4.0931,1,0,0,0
548681550-10-30,4.2912,1,0,0,0
548681550-11-29,2.45586,1,0,0,0
548681551-02-07,1.29519,1,0,0,0
548681551-03-09,0.555786,1,0,0,0
548681551-05-18,-2.22177,1,0,0,0
548681551-06-17,-1.89513,1,0,0,0
548681551-08-26,1.59495,1,0,0,0
548681551-09-25,1.74814,1,0,0,0
548681551-12-04,1.48037,1,0,0,0
548681552-01-03,1.49257,1,0,0,0
548681552-03-13,1.27444,1,0,0,0
548681552-04-12,1.3984,1,0,0,0
548681573-04-12,-0.682301,1,0,0,0
548681573-05-12,-2.44727,1,0,0,0
548681573-07-21,-2.87633,1,0,0,0
548681573-08-20,-2.87089,1,0,0,0
548681573-10-29,-3.59448,1,0,0,0
548681573-11-28,-3.8748,1,0,0,0
548681574-02-06,-2.3022,1,0,0,0
548681574-03-08,-0.130847,1,0,0,0
548681574-05-17,0.091457,1,0,0,0
548681574-06-16,-0.382922,1,0,0,0
548681574-08-25,0.54221,1,0,0,0
548681574-09-24,1.27962,1,0,0,0
548681574-12-03,-4.65579,1,0,0,0
548681575-01-02,-2.85692,1,0,0,0
548681575-03-13,-1.58311,1,0,0,0
548681575-04-12,-0.674386,1,0,0,0
548681575-06-21,1.32918,1,0,0,0
548681575-07-21,5.06341,1,0,8.755,0
548681575-09-29,5.53821,1,0,17.628,0
548681575-10-29,6.32301,1,0,25.567,0
548681576-01-07,8.22244,1,0,32.53,0
548681576-02-06,-5.12338,1,0,38.23,0
548681576-04-16,-2.02332,1,0,42.643,0
548681576-05-16,-1.45771,1,0,45.694,0
548681576-07-25,1.47502,1,0,47.329,0
548681576-08-24,1.67695,1,0,47.522,0
548681576-11-02,4.09884,1,0,45.339,0
548681576-12-02,5.05964,1,0,42.715,0
548681577-02-10,6.04654,1,0,38.741,0
548681577-03-12,5.26486,1,0,33.483,0
548681577-05-21,6.49371,1,0,27.032,0
548681577-06-20,6.09884,1,0,19.499,0
548681577-08-29,6.6497,1,0,1.972,0
548681577-09-28,6.21914,1,0,0.307,0
548681577-12-07,5.9007,1,0,0,0
548681578-01-06,4.86339,1,0,0,0
548681578-03-17,4.51687,1,0,0,0
548681578-04-16,2.44323,1,0,0,0
548681578-06-25,1.33497,1,0,0,0
548681578-07-25,0.876127,1,0,0,0
548681578-10-03,1.00212,1,0,0,0
548681578-11-02,0.929863,1,0,0,0
548681579-01-11,0.676321,1,0,0,0
548681579-02-10,0.871534,1,0,0,0
548681579-04-21,0.866032,1,0,0,0
548681579-05-21,0.885166,1,0,0,0
548681579-07-30,0.734215,1,0,0,0
548681579-08-29,1.01829,1,0,0,0
548681600-08-28,-0.242935,1,0,0,0
548681600-09-27,-2.02449,1,0,0,0
548681600-12-06,-2.47014,1,0,0,0
548681601-01-05,-2.48653,1,0,0,0
548681601-03-16,-3.23194,1,0,0,0
548681601-04-15,-3.53399,1,0,0,0
548681601-06-24,-1.98329,1,0,0,0
548681601-07-24,0.166354,1,0,0,0
548681601-10-02,0.36677,1,0,0,0
548681601-11-01,-0.117386,1,0,0,0
548681602-01-10,0.79807,1,0,0,0
548681602-02-09,1.52572,1,0,0,0
548681602-04-20,-2.21755,1,0,0,0
548681602-05-20,-1.23002,1,0,0,0
548681602-07-29,-0.412921,1,0,0,0
548681602-08-28,0.392581,1,0,0,0
548681602-11-06,2.7255,1,0,0,0
548681602-12-06,5.39806,1,0,4.55,0
548681603-02-14,5.54237,1,0,9.078,0
548681603-03-16,6.21666,1,0,13.132,0
548681603-05-25,7.18582,1,0,50.977,0
548681603-06-24,3.2782,1,0,59.877,0
548681603-09-02,2.54658,1,0,66.776,0
548681603-10-02,2.28655,1,0,71.553,0
548681603-12-11,2.66934,1,0,74.129,0
548681604-01-10,2.52492,1,0,74.459,0
548681604-03-20,3.91989,1,0,37.661,0
548681604-04-19,4.29082,1,0,35.511,0
548681604-06-28,4.96479,1,0,32.246,0
548681604-07-28,5.05367,1,0,27.922,0
548681604-10-06,6.12577,1,0,22.612,0
548681604-11-05,5.51557,1,0,16.408,0
548681605-01-14,6.08577,1,0,0,0
548681605-02-13,5.63378,1,0,0,0
548681605-04-24,4.93824,1,0,0,0
548681605-05-24,3.95454,1,0,0,0
548681605-08-02,3.69218,1,0,0,0
548681605-09-01,2.47641,1,0,0,0
548681605-11-10,1.56782,1,0,0,0
548681605-12-10,1.09209,1,0,0,0
548681606-02-18,-1.69908,1,0,0,0
548681606-03-20,-1.38606,1,0,0,0
548681606-05-29,-1.25903,1,0,0,0
548681606-06-28,-0.79748,1,0,0,0
548681606-09-06,-0.814644,1,0,0,0
548681606-10-06,0.620258,1,0,0,0
548681606-12-15,0.438594,1,0,0,0
548681607-01-14,0.583558,1,0,0,0
548681628-01-14,-0.657101,1,0,0,0
548681628-02-13,-2.11377,1,0,0,0
548681628-04-23,-2.56983,1,0,0,0
548681628-05-23,-2.58738,1,0,0,0
548681628-08-01,-3.33385,1,0,0,0
548681628-08-31,-3.63706,1,0,0,0
548681628-11-09,-2.0875,1,0,0,0
548681628-12-09,0.060999,1,0,0,0
548681629-02-17,0.26037,1,0,0,0
548681629-03-19,-0.199791,1,0,0,0
548681629-05-28,0.739649,1,0,0,0
548681629-06-27,1.49127,1,0,0,0
548681629-09-05,-2.22803,1,0,0,0
548681629-10-05,-1.21654,1,0,0,0
548681629-12-14,-0.375414,1,0,0,0
548681630-01-13,-5.91631,1,0,0,0
548681630-03-24,-0.577925,1,0,0,0
548681630-04-23,5.40329,1,0,0.556,0
548681630-07-02,5.43876,1,0,1.098,0
548681630-08-01,6.43173,1,0,1.584,0
548681630-10-10,9.42304,1,0,5.088,0
548681630-11-09,4.5934,1,0,5.972,0
